node_id,pos_x,pos_y,battery,label
2,50.0,50.0,15,1
2,273.0,359.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,272.0,357.0,95,0
2,50.0,50.0,15,1
2,274.0,358.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,275.0,358.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,276.0,358.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,274.0,356.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,271.0,356.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,271.0,356.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,274.0,358.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,275.0,355.0,95,0
2,50.0,50.0,15,1
2,275.0,352.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,277.0,355.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,274.0,353.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,276.0,356.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,275.0,354.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,273.0,351.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,270.0,354.0,95,0
2,271.0,354.0,95,0
2,50.0,50.0,15,1
2,269.0,353.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,267.0,355.0,95,0
2,267.0,354.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,269.0,355.0,95,0
2,270.0,352.0,95,0
2,50.0,50.0,15,1
2,271.0,355.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,270.0,355.0,95,0
2,50.0,50.0,15,1
2,272.0,357.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,275.0,358.0,95,0
2,272.0,355.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,271.0,355.0,95,0
2,274.0,352.0,95,0
2,50.0,50.0,15,1
2,276.0,350.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,279.0,347.0,95,0
2,50.0,50.0,15,1
2,278.0,346.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,280.0,344.0,95,0
2,277.0,342.0,95,0
2,50.0,50.0,15,1
2,280.0,343.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,279.0,346.0,95,0
2,50.0,50.0,15,1
2,278.0,347.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,281.0,347.0,95,0
2,278.0,346.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,281.0,344.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,280.0,345.0,95,0
2,282.0,346.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,282.0,348.0,95,0
2,282.0,350.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,280.0,350.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,283.0,352.0,95,0
2,286.0,354.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,285.0,353.0,95,0
2,285.0,351.0,95,0
2,50.0,50.0,15,1
2,287.0,349.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,289.0,346.0,95,0
2,50.0,50.0,15,1
2,286.0,344.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,283.0,342.0,95,0
2,285.0,341.0,95,0
2,50.0,50.0,15,1
2,50.0,50.0,15,1
2,288.0,341.0,95,0
